Title: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeframe: 2010 - 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,2010__White,2010__Black,2010__Hispanic,2010__Asian/Native Hawaiian and Pacific Islander,2010__American Indian/Alaska Native,2010__Multiple Races,2010__Total,2011__White,2011__Black,2011__Hispanic,2011__Asian/Native Hawaiian and Pacific Islander,2011__American Indian/Alaska Native,2011__Multiple Races,2011__Total,2012__White,2012__Black,2012__Hispanic,2012__Asian/Native Hawaiian and Pacific Islander,2012__American Indian/Alaska Native,2012__Multiple Races,2012__Total,2013__White,2013__Black,2013__Hispanic,2013__Asian/Native Hawaiian and Pacific Islander,2013__American Indian/Alaska Native,2013__Multiple Races,2013__Total,2014__White,2014__Black,2014__Hispanic,2014__Asian/Native Hawaiian and Pacific Islander,2014__American Indian/Alaska Native,2014__Multiple Races,2014__Total,2015__White,2015__Black,2015__Hispanic,2015__Asian/Native Hawaiian and Pacific Islander,2015__American Indian/Alaska Native,2015__Multiple Races,2015__Total,2016__White,2016__Black,2016__Hispanic,2016__Asian/Native Hawaiian and Pacific Islander,2016__American Indian/Alaska Native,2016__Multiple Races,2016__Total,2017__White,2017__Black,2017__Hispanic,2017__Asian/Native Hawaiian and Pacific Islander,2017__American Indian/Alaska Native,2017__Multiple Races,2017__Total,2018__White,2018__Black,2018__Hispanic,2018__Asian/Native Hawaiian and Pacific Islander,2018__American Indian/Alaska Native,2018__Multiple Races,2018__Total,2019__White,2019__Black,2019__Hispanic,2019__Asian/Native Hawaiian and Pacific Islander,2019__American Indian/Alaska Native,2019__Multiple Races,2019__Total,Footnotes
Maine,130300,N/A,1800,N/A,2000,1700,138300,136200,800,2100,N/A,N/A,N/A,143900,123600,N/A,N/A,N/A,N/A,N/A,133600,130500,N/A,3600,N/A,N/A,3300,143100,119400,N/A,N/A,N/A,N/A,3200,126700,100500,N/A,3000,N/A,1300,2500,110300,92700,N/A,2900,N/A,N/A,N/A,101800,92300,N/A,N/A,N/A,N/A,N/A,101600,90800,N/A,N/A,N/A,1300,3100,101900,92300,N/A,2000,N/A,N/A,4900,104800,
Maryland,209000,205300,159100,41600,N/A,13000,629100,197000,181200,143700,38500,N/A,12900,575100,187400,173300,165800,38700,N/A,12100,577500,186500,175800,150400,49800,N/A,11900,576600,139100,128300,145500,28100,N/A,8300,450000,98000,117900,127700,25900,N/A,10400,380600,104600,97300,121300,18100,N/A,7900,350000,97000,96900,136900,18600,N/A,6200,356100,81600,108400,128700,16700,N/A,6700,342300,88500,93400,125800,21200,N/A,9600,338900,
Massachusetts,161000,27500,60300,12100,N/A,13100,274700,148600,28900,59000,15400,N/A,10000,262900,146800,29700,49000,11600,N/A,9600,247000,138900,27000,54300,12000,N/A,9300,241700,120600,28400,48000,11400,N/A,8100,216800,98900,21400,39400,15500,N/A,5700,181500,87900,17300,36000,11800,N/A,5500,159600,92400,21300,40800,13600,N/A,10100,178500,96100,19000,42100,11800,N/A,7700,177800,111500,23000,44500,11200,N/A,7000,198200,
Michigan,832500,208200,96000,27400,6900,27200,1198200,770100,220000,86900,32800,9400,22600,1141800,756600,208800,83100,25100,9900,29700,1113100,696900,217200,87100,28700,8600,25700,1064200,536200,146700,72600,29100,7300,19200,811100,382100,100000,63800,20000,2900,11100,579800,335000,84000,57500,19100,3900,12400,511800,320700,83000,57000,12200,5800,13800,492400,352300,82800,55300,12300,5100,13100,520900,372900,80100,63700,15400,6400,18100,556600,
Minnesota,303200,47300,60100,21800,10800,19200,462300,291100,39200,71000,25300,10500,15000,452000,274100,35400,78200,22800,11700,12400,434700,267600,45600,71300,27900,14900,9300,436600,183100,31700,68400,15800,9100,6400,314600,127400,21200,56300,16700,8700,7800,238000,127700,20700,50500,9500,10300,8000,226700,137400,22600,48600,12400,10300,10500,241700,130400,20000,50400,16000,10400,8200,235300,153300,35100,44700,15100,6400,8000,262600,
Mississippi,241500,229400,32600,6200,3800,4200,517800,238300,222900,30700,8700,2900,2800,506300,232900,219700,23300,7300,4600,4100,491800,228700,217900,26100,7400,5500,5000,490800,203600,177000,24100,4000,2600,4200,415500,180400,142500,26100,4700,2100,3800,359700,159700,145200,21800,2600,2700,5600,337600,170600,144900,20900,5100,3000,2400,346800,166000,151300,22900,4400,1700,5500,351800,180200,145800,27700,5700,4000,5000,368500,
Missouri,545700,130200,59200,12600,3800,15500,767100,565700,121000,64800,14600,3900,23100,793100,580500,126400,64800,15100,6200,13600,806500,538500,126600,60300,14900,3100,17800,761100,471300,114300,55700,15000,4000,16300,676700,415400,84200,46300,13100,2300,8400,569700,373100,73300,51500,12100,4300,12000,526200,369800,83900,41300,17800,4200,15300,532300,394600,79100,48700,8400,4100,17000,551900,436000,77400,54600,9900,2900,14700,595500,
Montana,124500,N/A,6300,N/A,25500,4200,162500,134500,N/A,7300,N/A,31000,4400,181300,139200,N/A,6700,N/A,25300,5700,178600,121000,N/A,7400,N/A,29800,4500,164500,95600,3100,8700,N/A,24400,N/A,135900,84600,N/A,4600,N/A,22700,3400,116000,61000,N/A,5400,N/A,15000,N/A,84600,64700,N/A,4400,N/A,17000,4200,91800,64800,N/A,N/A,N/A,13300,N/A,83600,60400,N/A,3800,N/A,18600,N/A,86000,
Nebraska,132900,10900,51400,2500,4300,7700,209500,133600,14800,49500,5300,5100,4800,213100,117800,16700,51900,3800,4800,N/A,199100,120500,15800,43000,4100,4800,4900,193200,103500,10200,46400,N/A,4100,4300,169800,86900,12700,35500,N/A,4400,N/A,143200,93000,14700,45000,N/A,3300,3800,162400,91200,11100,44500,3700,2900,4500,157900,92000,8100,42300,4200,2700,7800,157000,76600,15400,43000,4900,3600,4700,148200,
Nevada,235100,45700,252400,37600,8800,14400,594100,214800,42900,261800,40200,7000,12800,579600,212500,50100,264100,37600,8500,18100,590900,209900,48400,237100,40900,7200,12600,556100,143300,28600,201400,31300,5000,11000,420600,103700,23200,179300,24000,3700,7400,341200,93500,21000,168900,20100,4100,7300,315000,102900,25200,158100,21600,4400,8900,321100,96500,27900,171500,19000,6100,10700,331700,103200,21200,180500,25700,2500,9100,342200,
