"Title: Population Distribution by Family Structure | KFF"
"Timeframe: 2010 - 2019"
"Location","2010__Adults with Children","2010__Adults with No Children","2010__Total","2011__Adults with Children","2011__Adults with No Children","2011__Total","2012__Adults with Children","2012__Adults with No Children","2012__Total","2013__Adults with Children","2013__Adults with No Children","2013__Total","2014__Adults with Children","2014__Adults with No Children","2014__Total","2015__Adults with Children","2015__Adults with No Children","2015__Total","2016__Adults with Children","2016__Adults with No Children","2016__Total","2017__Adults with Children","2017__Adults with No Children","2017__Total","2018__Adults with Children","2018__Adults with No Children","2018__Total","2019__Adults with Children","2019__Adults with No Children","2019__Total",Footnotes
"United States","65383100","119377600","184760600","65083000","121247500","186330500","64792000","122429000","187221000","64462100","123634800","188097000","64300600","124987300","189287800","64386000","125892700","190278700","64037300","126422200","190459500","64147400","127270500","191418000","63968500","127531200","191499600","63384600","127772500","191157100","1"
"Ohio","2411700","4434900","6846600","2355600","4509300","6864900","2325900","4517900","6843800","2317800","4521100","6838900","2310000","4514700","6824700","2313900","4497400","6811300","2273600","4502500","6776100","2269700","4510700","6780500","2265600","4501400","6767000","2244500","4482500","6727000"
"Oklahoma","798000","1373800","2171800","801600","1387400","2189000","789000","1416000","2204900","793400","1429400","2222800","786400","1443700","2230100","812000","1418300","2230300","810000","1422000","2232100","789600","1438000","2227600","823200","1407000","2230200","790800","1445300","2236100"
"Oregon","801200","1539600","2340800","778400","1588200","2366600","781400","1581300","2362700","780500","1594300","2374800","771800","1613000","2384800","759500","1654800","2414300","784700","1656000","2440700","799000","1665000","2464000","814600","1668900","2483500","783600","1704400","2488000"
"Pennsylvania","2548100","4969600","7517800","2554200","4998600","7552800","2492500","5067800","7560300","2441600","5100000","7541600","2440000","5096400","7536400","2449400","5056800","7506100","2396900","5074900","7471800","2401800","5042500","7444300","2410500","5006100","7416600","2376400","4982800","7359200"
"Rhode Island","205400","429000","634400","207900","428100","635900","196600","434800","631400","200100","435400","635500","201400","430800","632200","203500","431100","634600","189200","443000","632200","201300","429800","631000","190100","441400","631500","187300","438900","626200"
"South Carolina","919100","1818900","2737900","938000","1820800","2758800","923600","1840600","2764100","914900","1878200","2793100","886800","1923700","2810500","903900","1938000","2841800","907900","1947100","2855000","919300","1961800","2881100","912000","1985900","2897900","933600","1984700","2918300"
"South Dakota","171000","294000","465000","169100","299500","468600","164400","313800","478200","179900","306700","486600","170900","314200","485200","183200","300800","484000","175700","309400","485100","182400","304800","487200","176100","314400","490500","180900","303100","484000"
"Tennessee","1299600","2501700","3801300","1286100","2553100","3839200","1295400","2542800","3838200","1297600","2559800","3857400","1314200","2561000","3875200","1289800","2599800","3889600","1272700","2627900","3900600","1307000","2627400","3934400","1312000","2641900","3953900","1310500","2660900","3971400"
"Texas","5800600","9094000","14894500","5820500","9327200","15147800","5888500","9493600","15382100","5923400","9671500","15594800","5992400","9897700","15890100","6089100","10067700","16156900","6133700","10216600","16350200","6142900","10455200","16598100","6137000","10671200","16808200","6214400","10729200","16943600"
"Utah","705300","867000","1572200","675200","924600","1599900","689600","937600","1627200","715200","927400","1642600","709000","956200","1665200","703900","991300","1695200","722900","998400","1721300","734000","1023200","1757200","747000","1049100","1796100","753700","1067900","1821600"
"Vermont","122100","257400","379500","121600","259300","380900","118600","258900","377500","117700","255200","372900","120800","252600","373300","107800","267600","375500","112100","253900","366000","113000","253100","366200","103800","260600","364400","104900","255000","359900"
"Virginia","1673800","3155300","4829100","1692700","3183000","4875600","1691800","3213200","4904900","1667700","3265100","4932800","1699700","3252200","4951900","1671000","3283200","4954200","1674800","3276800","4951600","1667100","3302200","4969300","1667300","3286100","4953400","1630200","3305000","4935200"
"Washington","1435200","2685600","4120800","1463900","2720700","4184600","1443300","2769100","4212400","1467300","2762700","4230000","1440200","2824100","4264300","1471700","2857800","4329500","1485000","2899200","4384200","1522400","2920700","4443100","1528000","2987100","4515100","1531400","2997600","4528900"
"West Virginia","351800","755900","1107800","341500","770900","1112400","348100","757400","1105600","346500","750100","1096600","336200","746400","1082600","336700","740000","1076800","326600","733100","1059700","322100","714100","1036200","329300","696800","1026000","324800","689000","1013800"
"Wisconsin","1211400","2197600","3408900","1194800","2225200","3420000","1180300","2238200","3418500","1177900","2245100","3423000","1190500","2231300","3421800","1180800","2238800","3419600","1158200","2249200","3407400","1161900","2230900","3392800","1171700","2225800","3397500","1130100","2248100","3378200"
"Wyoming","122000","216600","338600","116300","227200","343500","121200","225600","346900","123200","226400","349600","122600","228300","351000","124200","218000","342200","113800","225300","339000","118200","214300","332500","107000","222600","329600","119400","205000","324400"
"Puerto Rico","792900","1406200","2199200","742500","1440200","2182700","717600","1438700","2156300","710000","1413500","2123600","659500","1424200","2083700","637000","1398700","2035700","621800","1379600","2001400","543200","1406500","1949700","532100","1343700","1875700","537300","1334200","1871500"

"Notes"
"Among all nonelderly adults 19-64."
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*Adults With Children:* indicates all adults identified as parents of a child under 18 that currently live in a household with that child."


Footnotes
"1. US total excludes Puerto Rico."
