"Location","2010__White","2010__Black","2010__Hispanic","2010__Asian","2010__American Indian/Alaska Native","2010__Native Hawaiian/Other Pacific Islander","2010__Multiple Races","2010__Total","2011__White","2011__Black","2011__Hispanic","2011__Asian","2011__American Indian/Alaska Native","2011__Native Hawaiian/Other Pacific Islander","2011__Multiple Races","2011__Total","2012__White","2012__Black","2012__Hispanic","2012__Asian","2012__American Indian/Alaska Native","2012__Native Hawaiian/Other Pacific Islander","2012__Multiple Races","2012__Total","2013__White","2013__Black","2013__Hispanic","2013__Asian","2013__American Indian/Alaska Native","2013__Native Hawaiian/Other Pacific Islander","2013__Multiple Races","2013__Total","2014__White","2014__Black","2014__Hispanic","2014__Asian","2014__American Indian/Alaska Native","2014__Native Hawaiian/Other Pacific Islander","2014__Multiple Races","2014__Total","2015__White","2015__Black","2015__Hispanic","2015__Asian","2015__American Indian/Alaska Native","2015__Native Hawaiian/Other Pacific Islander","2015__Multiple Races","2015__Total","2016__White","2016__Black","2016__Hispanic","2016__Asian","2016__American Indian/Alaska Native","2016__Native Hawaiian/Other Pacific Islander","2016__Multiple Races","2016__Total","2017__White","2017__Black","2017__Hispanic","2017__Asian","2017__American Indian/Alaska Native","2017__Native Hawaiian/Other Pacific Islander","2017__Multiple Races","2017__Total","2018__White","2018__Black","2018__Hispanic","2018__Asian","2018__American Indian/Alaska Native","2018__Native Hawaiian/Other Pacific Islander","2018__Multiple Races","2018__Total","2019__White","2019__Black","2019__Hispanic","2019__Asian","2019__American Indian/Alaska Native","2019__Native Hawaiian/Other Pacific Islander","2019__Multiple Races","2019__Total",Footnotes
"United States","191844300","36217100","49603000","14275400","1997400","444100","6425000","300806200","192080600","36478000","50801600","14557700","2002400","441600","6718700","303080600","192305000","36797500","51773400","15067900","2022800","472200","6937700","305376600","192379500","37122600","52764900","15505700","2008700","448800","7275400","307505500","192419600","37599400","54059600","16156500","2006500","481900","7488800","310212200","192593600","37923800","55241300","16755300","1986900","466400","7810600","312777900","192537500","38081700","56144400","17004500","2041500","514600","8142200","314466400","192336100","38408000","57560600","17651200","2039400","502500","8524700","317022500","192117000","38655700","58483600","17844800","2082800","519500","8795000","318498500","191757100","38872200","59102900","18007200","2125700","528200","8856100","319249300","1"
"Maryland","3078800","1623500","462200","313600","10200","N/A","131900","5622200","3077300","1643100","476500","323500","11000","1000","136300","5668600","3084300","1637300","498100","330600","12700","N/A","156900","5722700","3067400","1665700","522900","344600","13800","N/A","151400","5767500","3053700","1693500","546000","359600","9600","N/A","156000","5819300","3032100","1680700","557200","372200","9100","N/A","184700","5838300","3010100","1716500","575200","366400","9300","N/A","176900","5856500","2988800","1720600","600300","384600","11500","2500","184600","5892900","2953400","1720400","613900","374500","8900","N/A","197600","5870800","2934100","1741500","624500","373300","12400","N/A","188100","5875500"
"Massachusetts","4834300","391700","611200","336300","7100","N/A","147000","6328400","4829700","389700","628900","353100","8600","N/A","149600","6360600","4830400","405100","650300","369400","8000","N/A","146100","6410600","4828400","404300","680700","363500","8100","N/A","165300","6451500","4811900","420500","704400","392700","7800","N/A","168800","6506500","4792000","437900","729300","411200","7000","N/A","177200","6555600","4771800","440400","750600","415900","8600","N/A","181100","6570600","4746900","459100","785300","424700","9100","N/A","194800","6620600","4717100","465500","824800","444600","11000","N/A","195000","6659900","4687000","466200","824100","448000","12000","2600","210800","6650800"
"Michigan","7410900","1328700","424800","233200","48300","2500","209200","9657600","7393300","1329400","436400","234700","50500","N/A","209800","9655100","7383900","1330200","441400","231000","44800","N/A","226800","9659300","7363300","1312200","455000","258400","41400","N/A","231900","9664300","7358500","1312600","466100","270600","47400","N/A","225500","9682700","7341600","1320200","473300","280600","39400","N/A","236400","9693800","7330200","1304100","477300","281500","40700","N/A","258100","9693500","7322500","1313800","489200","299700","42800","N/A","249300","9720300","7327100","1321900","502900","315800","48200","N/A","252000","9770000","7316400","1305100","514600","315900","47100","N/A","264900","9765600"
"Minnesota","4317200","245100","241400","207400","47500","N/A","127600","5187500","4328600","258100","249600","210300","48400","N/A","126300","5222300","4332800","269200","257500","220800","52800","N/A","119400","5256300","4334600","280900","255900","235500","55400","N/A","124200","5287800","4342500","299100","269200","248600","46700","2700","121500","5330400","4350500","303500","271400","255000","48100","N/A","134900","5365600","4352400","305000","277200","261800","54200","N/A","141700","5392900","4358900","346100","285400","262800","49500","N/A","140300","5446600","4370100","356100","296100","259600","51700","N/A","152900","5489000","4361600","353700","307300","272500","50900","N/A","165900","5514800"
"Mississippi","1673000","1060100","68000","26300","13000","N/A","26800","2867200","1671900","1073100","72800","25300","10800","N/A","24700","2878500","1669200","1082700","68500","22500","11500","N/A","29600","2884500","1664000","1085700","72800","27400","10500","N/A","28500","2889200","1664000","1081800","71700","21900","10300","N/A","36500","2886800","1655400","1089000","77000","28400","10700","N/A","27700","2889300","1651000","1085900","80500","26400","12000","N/A","31400","2887300","1642100","1087600","79500","26800","11800","N/A","35300","2884500","1633600","1084700","81200","25300","12000","N/A","41300","2879400","1622400","1078300","85900","28600","11000","N/A","40700","2867100"
"Missouri","4712800","662800","204800","91100","18700","4700","107100","5802000","4719700","643900","206000","93300","19300","N/A","136700","5823500","4717300","653900","209300","97300","23300","N/A","125500","5830600","4719900","655700","220500","96400","19100","N/A","137800","5853100","4705300","668300","223300","102200","22800","4300","144100","5870200","4723300","667000","229600","110500","21900","5100","133500","5890900","4708400","666800","236700","112300","24900","7200","141700","5898000","4716400","657900","247400","119900","21800","9100","148800","5921300","4719400","670600","240400","119300","20500","8700","155600","5934500","4715000","667100","253900","122500","21200","8200","152000","5939900"
"Montana","847300","2900","26400","4600","61100","N/A","20100","962800","851200","N/A","27900","5300","64500","N/A","19600","971600","853800","N/A","29600","5600","66000","N/A","21000","978700","861800","N/A","31200","6700","63200","N/A","20700","986300","864300","4700","32900","8100","66300","N/A","17300","993700","873900","3900","35800","6100","62700","N/A","22700","1005900","879200","N/A","35600","8500","61700","N/A","27600","1015100","884600","4300","36300","6900","60100","N/A","29700","1022600","890100","3700","40500","6800","60400","N/A","32000","1034000","895200","5900","38300","7900","62900","N/A","28700","1039400"
"Nebraska","1458500","73900","163500","27200","11500","N/A","34500","1771000","1460300","73300","168200","32100","14900","N/A","33300","1782300","1463200","80500","173800","35500","13400","N/A","26900","1795100","1465800","83600","179700","32200","10900","N/A","38700","1811200","1470000","82900","184300","34600","12100","N/A","39400","1823700","1475100","88200","191300","37300","15800","N/A","30000","1838400","1475200","81500","196000","42300","12200","N/A","36700","1845000","1472600","80600","203900","47000","11800","N/A","41700","1859200","1470100","82100","206800","42800","12500","N/A","54400","1868900","1470900","89200","212200","45200","14800","N/A","40200","1873600"
"Nevada","1433600","204500","711500","192500","23200","15600","76700","2657600","1431200","204200","726600","190100","25100","16700","81800","2675800","1434800","210500","741300","202800","23800","18100","79600","2710900","1432400","216800","756500","212300","23900","17700","85800","2745400","1435800","223000","780500","216000","24200","17900","97700","2795200","1437900","229800","801900","227200","23100","15200","107500","2842700","1441300","241000","824500","240000","25100","18800","99800","2890400","1441400","257000","851600","248600","26900","18500","102600","2946600","1447500","258700","866800","241600","28700","18400","121800","2983400","1448800","279000","888400","257500","26700","17500","111900","3029700"
"New Hampshire","1175500","13800","35000","27100","2700","N/A","21400","1276000","1177800","11400","36000","29600","1600","N/A","21700","1278200","1176100","13500","38600","27900","3200","N/A","20900","1280100","1174500","10000","40100","30800","2300","N/A","23000","1280700","1174900","13900","40600","31900","N/A","N/A","23500","1286500","1175700","14600","42000","31900","1700","N/A","21500","1287600","1175900","13600","44600","32700","N/A","N/A","23100","1291300","1175300","17200","47000","35400","1100","N/A","20800","1297000","1181500","14600","49900","37000","N/A","N/A","24000","1310300","1179700","17600","51500","34800","N/A","N/A","27600","1314000"
"New Jersey","5119000","1085500","1536000","708800","12100","N/A","157200","8620400","5074800","1073400","1575400","729400","11000","N/A","173300","8638700","5044400","1078000","1616200","768100","7500","N/A","168800","8685500","5011800","1082400","1658100","782300","8900","N/A","172500","8716900","4969400","1096900","1701600","807400","10000","N/A","168900","8756200","4933200","1084500","1732200","829100","7700","N/A","187300","8776300","4883400","1090900","1756100","833200","8200","N/A","188200","8762700","4851700","1101200","1812000","865000","9100","N/A","183400","8823900","4776900","1100300","1812100","842500","8900","N/A","185600","8728300","4738500","1081400","1822900","836400","8800","N/A","209000","8699400"
