"Title: Distribution of the Total Population by Federal Poverty Level (above and below 200% FPL) | KFF"
"Timeframe: 2010 - 2019"
"Location","2010__Under 200%","2010__200%+","2011__Under 200%","2011__200%+","2012__Under 200%","2012__200%+","2013__Under 200%","2013__200%+","2014__Under 200%","2014__200%+","2015__Under 200%","2015__200%+","2016__Under 200%","2016__200%+","2017__Under 200%","2017__200%+","2018__Under 200%","2018__200%+","2019__Under 200%","2019__200%+",Footnotes
"United States","103423500","197382700","106362800","196717900","106949600","198427000","106758000","200747500","106087800","204124500","103127800","209650100","99900200","214566200","98125300","218897200","96825600","221672900","92396500","227000000","1"
"South Dakota","267200","519800","247900","543400","264700","535700","274600","537000","262300","559300","254400","574600","258500","577300","245300","591700","261800","586900","243500","607800"
"Tennessee","2425700","3760500","2472000","3758500","2473600","3803800","2493300","3825400","2528200","3846600","2406400","4016300","2313300","4154500","2271100","4267100","2335300","4251200","2166500","4474400"
"Texas","9699900","14884500","9929400","15076800","9910600","15473700","9914000","15859000","9963700","16316300","9678600","17098900","9695500","17482900","9498100","18123200","9591800","18432200","9223400","19062800"
"Utah","911900","1812200","917600","1849900","939700","1862000","896100","1953300","889500","2002300","887500","2057700","828700","2170600","817200","2230200","797800","2308100","763100","2391000"
"Vermont","183800","415600","161300","438500","181800","418900","186900","415700","178600","421400","159000","443400","164200","435400","173500","426800","157900","442700","152600","445400"
"Virginia","2059100","5644800","2103400","5680300","2156500","5709000","2180200","5765500","2155200","5850800","2121800","5929400","2035400","6045500","2004700","6136000","2007100","6175000","1917700","6267300"
"Washington","1973900","4602000","2051600","4602800","2051200","4681700","2103200","4694700","2059600","4828000","2030800","4972000","1928600","5195500","1852100","5387700","1816000","5552000","1733600","5690200"
"West Virginia","711100","1087800","720200","1082000","710400","1091300","706100","1092100","716100","1075600","689600","1101900","696900","1084800","679200","1083000","674100","1078200","641700","1097400"
"Wisconsin","1704900","3828500","1753400","3796500","1671600","3894500","1746400","3846100","1697800","3905800","1626700","3994200","1521500","4101800","1534200","4108700","1498400","4164500","1400900","4276200"
"Wyoming","154700","393600","160200","391500","170600","388400","154300","413000","164100","404300","148400","420500","164800","404600","161300","402000","149500","410800","144900","417800"
"Puerto Rico","2685400","998600","2694800","976900","2663100","970900","2656500","925500","2579500","934500","2516300","927000","2453000","926000","2370700","934100","2281100","883300","2304500","859900"

"Notes"
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $20,578 in 2019. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2019 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
