"Location","2010__White","2010__Black","2010__Hispanic","2010__Asian/Native Hawaiian and Pacific Islander","2010__American Indian/Alaska Native","2010__Multiple Races","2010__Total","2011__White","2011__Black","2011__Hispanic","2011__Asian/Native Hawaiian and Pacific Islander","2011__American Indian/Alaska Native","2011__Multiple Races","2011__Total","2012__White","2012__Black","2012__Hispanic","2012__Asian/Native Hawaiian and Pacific Islander","2012__American Indian/Alaska Native","2012__Multiple Races","2012__Total","2013__White","2013__Black","2013__Hispanic","2013__Asian/Native Hawaiian and Pacific Islander","2013__American Indian/Alaska Native","2013__Multiple Races","2013__Total","2014__White","2014__Black","2014__Hispanic","2014__Asian/Native Hawaiian and Pacific Islander","2014__American Indian/Alaska Native","2014__Multiple Races","2014__Total","2015__White","2015__Black","2015__Hispanic","2015__Asian/Native Hawaiian and Pacific Islander","2015__American Indian/Alaska Native","2015__Multiple Races","2015__Total","2016__White","2016__Black","2016__Hispanic","2016__Asian/Native Hawaiian and Pacific Islander","2016__American Indian/Alaska Native","2016__Multiple Races","2016__Total","2017__White","2017__Black","2017__Hispanic","2017__Asian/Native Hawaiian and Pacific Islander","2017__American Indian/Alaska Native","2017__Multiple Races","2017__Total","2018__White","2018__Black","2018__Hispanic","2018__Asian/Native Hawaiian and Pacific Islander","2018__American Indian/Alaska Native","2018__Multiple Races","2018__Total","2019__White","2019__Black","2019__Hispanic","2019__Asian/Native Hawaiian and Pacific Islander","2019__American Indian/Alaska Native","2019__Multiple Races","2019__Total",Footnotes
"United States","103303400","14166700","16631100","7971000","614600","3082500","145769300","102815200","14164000","17235400","7995800","619700","3169600","145999700","102217800","14286200","17590900","8286500","624100","3275100","146280700","100963800","14301600","17953000","8556500","601900","3532200","145909100","100633900","14645100","19410000","8912800","634300","3601700","147837800","100358900","15073500","20035900","9260600","624600","3886500","149239900","100085200","15457400","20741300","9550500","626900","3984700","150445900","100000000","15719600","21775900","9951300","630800","4268000","153000000","100244900","15767400","22373800","10264500","654300","4451200","153756100","99779800","16081200","23185400","10393600","681800","4563600","155000000","1"
"Maryland","1901500","820000","171500","189800","4800","72400","3159900","1894000","852500","192300","189300","5200","76500","3209700","1852800","838300","183400","199700","8600","92100","3175000","1829100","844600","207300","191900","5300","84300","3162400","1793100","839700","211100","210500","5400","88900","3148600","1774200","839000","222500","222300","4100","107100","3169200","1727600","885200","232100","220300","4600","97600","3167400","1747100","885900","236600","224700","5300","112300","3211900","1708300","852000","251500","225700","3500","116100","3157000","1679000","860500","248800","204600","6100","109700","3108700"
"Massachusetts","3002400","172600","200500","212500","3400","74800","3666200","2939300","179300","209900","205900","3400","71000","3608900","2937300","172900","211900","224000","3400","74000","3623500","2895200","179300","235700","225800","3400","90500","3629800","2878900","177800","227200","235000","3300","79100","3601200","2811600","181200","241700","238500","2600","87800","3563300","2793500","180900","237600","242500","3900","93600","3552000","2764300","195800","239700","245200","3100","98400","3546600","2700600","205000","282100","272600","4500","103600","3568400","2694300","216500","295600","280000","3800","113500","3603600"
"Michigan","3959300","453400","160600","152200","20600","89600","4835800","3963100","420400","174800","140200","19700","82400","4800600","3913500","457400","176700","146200","20000","88900","4802700","3870000","436600","177900","162800","13600","96100","4757100","3890000","450300","194100","160200","18800","93000","4806400","3851600","447200","204700","169800","15500","108500","4797400","3873000","462400","194300","167600","16100","116700","4830100","3874400","484100","213400","201800","18700","109000","4901500","3837700","479400","225700","204400","17700","116400","4881100","3809100","493200","228900","200700","17800","117000","4866600"
"Minnesota","2615200","74300","98600","119700","11800","52400","2972000","2607500","92200","89300","120500","11400","64900","2985800","2642200","88900","98400","128800","16300","55900","3030400","2571800","93400","100100","131100","12500","61200","2969900","2549900","100900","106600","149500","12700","57600","2977300","2551300","92400","95500","152500","14800","72000","2978400","2546200","100300","105800","148300","15700","68900","2985200","2609900","123100","107400","153700","11900","78100","3084200","2601300","124800","120000","152300","14900","83000","3096200","2600300","134600","140000","151200","15200","96500","3137700"
"Mississippi","783000","317100","16400","10400","4000","8500","1139400","773300","343700","13600","11400","4400","8600","1155000","759500","340700","21400","9000","3400","7200","1141200","753300","344700","21300","10600","2100","8700","1140700","748300","368100","21000","8800","3400","13200","1162900","744800","360200","20700","10000","3100","9000","1147800","766700","376100","28200","13200","3400","7200","1194900","767200","365900","25900","11400","3300","13300","1187000","770700","392800","27900","12700","4800","14700","1223700","755500","377000","25500","10700","1600","15000","1185300"
"Missouri","2501600","242900","80900","55000","7200","49400","2936900","2476600","249000","79900","56200","7700","58800","2928200","2420900","225700","74500","58800","6800","57000","2843600","2453000","234600","81900","55100","5900","62200","2892700","2436900","253000","101000","60200","8900","67100","2927100","2450000","262300","1.00E+05","70900","9400","72600","2965100","2454100","296900","98300","72400","9100","66800","2997600","2474400","264700","112100","66200","9400","68200","2995100","2498900","278000","114700","82000","7600","65200","3046500","2464100","283000","113600","82200","7300","82100","3032400"
"Montana","404600","N/A","9800","2500","10200","7100","434800","398000","N/A","11800","N/A","11000","7900","431800","377000","N/A","11000","3300","10400","4900","407500","393600","N/A","11000","4800","6900","4700","421800","398300","N/A","8500","N/A","13300","6000","428800","396400","N/A","15100","N/A","11900","10600","438500","389100","N/A","15600","5800","12400","9800","433100","401600","N/A","12200","N/A","10700","9200","437600","395400","N/A","17600","3000","14700","13100","445900","396300","N/A","11900","4100","9700","12500","437600"
"Nebraska","807500","25600","59100","17400","3000","13600","926300","801400","30200","67000","15100","2500","12500","928700","836100","30200","68400","22700","1400","10000","968800","820700","29900","72500","19500","1600","19600","963800","819600","33900","69300","23700","2800","17700","966800","849100","32200","80200","23700","4300","12400","1001800","834100","33400","81900","22200","4800","19600","996000","838900","35500","91900","26300","4700","17400","1014700","823300","44500","89200","24300","3700","27500","1012500","855900","39000","102200","23800","4100","19900","1044900"
"Nevada","737800","88200","296200","114900","6200","43600","1286800","717600","86000","297800","115500","10000","47400","1274200","709400","87500","298300","119900","7000","38900","1260900","719900","82300","339600","123500","7100","48000","1320500","709100","86700","344700","127800","9500","51600","1329400","700000","84200","344500","128200","7500","58600","1323000","706700","97700","361500","136900","8700","52500","1363900","709900","93200","408900","141900","9800","54500","1418100","708300","96400","393400","135700","11700","61400","1406800","714600","116300","421500","140600","12500","60500","1465900"
"New Hampshire","702900","6500","14100","17300","N/A","9800","752200","711500","4000","17000","20600","N/A","10200","763700","672100","6500","20100","20100","N/A","10100","730100","668200","5300","19200","16800","1200","11900","722600","675700","7600","17100","20100","N/A","10800","732000","677600","3900","21100","22400","N/A","9900","736000","663100","5400","25600","20000","N/A","11100","725900","655900","10100","24800","22600","N/A","12200","726000","666700","7200","22400","23400","N/A","15300","735000","650500","8600","23700","22800","N/A","14400","721100"
