"Title: Poverty Rate by Age | KFF"
"Timeframe: 2008 - 2019"
"Location","2008__Children 0-18","2008__Adults 19-64","2008__65+","2008__Total","2009__Children 0-18","2009__Adults 19-64","2009__65+","2009__Total","2010__Children 0-18","2010__Adults 19-64","2010__65+","2010__Total","2011__Children 0-18","2011__Adults 19-64","2011__65+","2011__Total","2012__Children 0-18","2012__Adults 19-64","2012__65+","2012__Total","2013__Children 0-18","2013__Adults 19-64","2013__65+","2013__Total","2014__Children 0-18","2014__Adults 19-64","2014__65+","2014__Total","2015__Children 0-18","2015__Adults 19-64","2015__65+","2015__Total","2016__Children 0-18","2016__Adults 19-64","2016__65+","2016__Total","2017__Children 0-18","2017__Adults 19-64","2017__65+","2017__Total","2018__Children 0-18","2018__Adults 19-64","2018__65+","2018__Total","2019__Children 0-18","2019__Adults 19-64","2019__65+","2019__Total",Footnotes
"United States","13935600","21406600","3683300","39025500","15366300","23752900","3602200","42721400","16521500","25995300","3563500","46080300","17106700","27343000","3741200","48190800","17157800","27395600","3921900","48475300","16756500","27740900","4159200","48656500","16391400","27406700","4230500","48028600","15671200","26232800","4173300","46077300","14745000","25030100","4417500","44192500","13907500","23921000","4558400","42386900","13547700","23292100","4804600","41644300","12492400","21892400","4998500","39383200","1"
"Minnesota","149300","297400","50500","497200","180900","328600","55500","565000","196000","338700","55800","590500","195900","357300","53200","606300","192000","351600","54600","598100","185500","357300","53400","596200","182200","354400","56100","592700","166400","315300","53200","534900","169500","306500","54400","530400","161800","311100","58500","531400","156600","310000","67400","534000","147900","277100","70200","495200"
"Mississippi","233400","299300","58100","590700","242700","321900","52800","617400","252100","341100","45700","638800","243700","355400","51000","650100","261400","369000","55900","686300","262300","384600","58200","705100","236500","346000","58600","641000","236500","344900","50800","632200","216700","329800","52400","599000","198500","307500","62400","568300","207300","312300","56100","575800","199400","296300","65000","560700"
"Missouri","273900","431400","71300","776700","302900","474100","68300","845400","307600","515700","78900","902300","318400","535100","71200","924600","326200","549200","79300","954800","327300","545600","83000","955800","297600","522300","82900","902700","285700","505400","73600","864700","274400","469000","78200","821600","254900","450300","82000","787200","251600","445600","84300","781500","229000","427500","90000","746500"
"Montana","49000","76400","13000","138400","45200","83600","11700","140500","48000","82100","9400","139500","42800","82200","11100","136100","44000","90700","11600","146300","52400","104000","15200","171700","46300","100600","13600","160400","43800","90100","12500","146400","34700","81900","15900","132600","33500","82300","13500","129200","32500","73800","18900","125200","41500","76900","17800","136300"
"Nebraska","69100","103700","21400","194200","68500","120500","17700","206700","88300","126900","16700","231900","74300","120000","18300","212500","73300","117200","18500","209000","80000","134000","21600","235600","82500","126800","21200","230500","76000","134200","20700","231000","73300","123400","19700","216400","68900","110300","18900","198000","69000","121500","24300","214800","54800","109400","28200","192500"
"Nevada","102600","163100","25400","291100","123100","176600","22600","322300","154100","223500","24600","402200","153200","247200","31000","431400","151500","245600","30100","427200","150400","246700","33700","430800","145800","238300","31700","415800","145800","242700","36300","424800","133100","221700","37500","392300","131800","218200","36900","386900","122900","219200","46100","388100","126600","221800","46500","394900"
"New Hampshire","25800","57100","13600","96500","31600","66600","12300","110500","30100","65100","9900","105100","31900","69200","11300","112500","39100","71700","12800","123600","28400","73200","10600","112300","39400","71700","9100","120200","28100","60900","12900","102000","19200","60300","10100","89600","27500","56300","13100","96800","26400","57200","11300","94900","19200","63600","15400","98200"
"New Jersey","260600","387300","86600","734500","289100","430800","89000","808800","304800","490300","83300","878400","304500","494500","91200","890200","317500","515100","97400","930000","344300","544000","102800","991100","338400","524700","110400","973400","308900","516900","102600","928400","292700","496700","112600","902000","278100","469000","112200","859300","275400","434200","110700","820300","244100","426900","127300","798300"
"New Mexico","128600","171400","34200","334100","141100","185400","31000","357500","159000","219100","32900","411100","164200","238200","34000","436300","153800","234900","31300","420000","174400","263800","36900","475100","155700","239700","39500","434800","157800","228800","38300","424900","147800","220700","38500","407000","131000","225200","43100","399400","136900","224500","48900","410300","113200","196500","52500","362300"
"New York","865900","1416200","289100","2571100","905400","1479500","289500","2674400","956400","1599800","273600","2829800","990100","1716400","295100","3001600","1029000","1713800","300600","3043400","995900","1760000","330200","3086100","965800","1711200","312900","2989900","935000","1677900","323000","2935900","879300","1629400","336700","2845300","835400","1517500","345500","2698400","795700","1451900","367400","2615100","725700","1328300","383700","2437700"
